id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
1054,Bersant Celina,1,11,0,0,1,0.25564199686050415,0,2,0,0,S,Manchester City,0,0,0.08173099905252457,0.08173099905252457,2015/2016
619,Sergio Agüero,31,2408,20,22.672587677836418,3,4.665909027680755,139,31,4,1,F S,Manchester City,16,18.86673802882433,25.352086670696735,5.026675033383071,2016/2017
618,Raheem Sterling,33,2532,7,8.106005489826202,6,5.496264124289155,64,46,7,0,F M S,Manchester City,7,8.106005489826202,18.46257404051721,6.7552114222198725,2016/2017
5543,Gabriel Jesus,10,649,7,7.243854932487011,4,1.890662670135498,24,10,2,0,F M S,Manchester City,6,6.48272293061018,8.800843104720116,1.1323138177394867,2016/2017
447,Kevin De Bruyne,36,2893,6,6.771996311843395,18,15.888654900714755,86,103,4,0,F M S,Manchester City,6,6.010865323245525,28.54269857145846,15.754017719998956,2016/2017
337,Leroy Sané,26,1793,5,5.820728005841374,3,5.704544333741069,33,35,4,0,F M S,Manchester City,5,5.820728005841374,14.744566721841693,6.49314147606492,2016/2017
878,Yaya Touré,25,1955,5,3.702670432627201,0,1.1150561925023794,32,19,4,0,M S,Manchester City,3,2.1803329065442085,11.302313722670078,10.284955695271492,2016/2017
617,David Silva,34,2775,4,6.241526518017054,7,8.11968045681715,48,82,6,0,F M S,Manchester City,4,6.241526518017054,25.774784959852695,15.932340640574694,2016/2017
620,Kelechi Iheanacho,20,515,4,4.739896599203348,3,2.534386456012726,22,13,0,0,F S,Manchester City,4,4.739896599203348,7.544516956433654,2.492477960884571,2016/2017
1732,Nolito,19,786,4,3.989437036216259,2,1.4063788950443268,32,13,3,1,F M S,Manchester City,4,3.989437036216259,8.056466039270163,3.6412904001772404,2016/2017
314,Ilkay Gündogan,10,717,3,1.921189139597118,1,0.9761678762733936,16,12,0,0,M S,Manchester City,3,1.921189139597118,6.541459213942289,4.147721093147993,2016/2017
612,Vincent Kompany,11,826,3,0.6902353912591934,0,0.5746745243668556,9,2,5,0,D S,Manchester City,3,0.6902353912591934,2.4782427847385406,2.434142768383026,2016/2017
614,Fernandinho,32,2752,2,3.2935858806595206,1,2.4662297070026398,36,33,4,2,D M S,Manchester City,2,3.2935858806595206,16.815134800970554,13.908864980563521,2016/2017
610,Pablo Zabaleta,20,1055,1,0.6953417919576168,1,0.45518549997359514,7,11,2,0,D M S,Manchester City,1,0.6953417919576168,6.211660511791706,5.194827519357204,2016/2017
611,Nicolás Otamendi,30,2588,1,1.0554080856963992,1,1.1595253236591816,15,6,9,0,D S,Manchester City,1,1.0554080856963992,11.596422753296793,11.425041644833982,2016/2017
613,Gaël Clichy,25,2127,1,0.03328350093215704,0,0.9297903496772051,2,16,2,0,D M S,Manchester City,1,0.03328350093215704,13.328611880540848,12.413365446031094,2016/2017
621,Aleksandar Kolarov,29,2532,1,1.0232505835592747,1,1.0573674039915204,32,15,6,0,D S,Manchester City,1,1.0232505835592747,13.291690073907375,12.658333454281092,2016/2017
876,Fabian Delph,7,216,1,0.22627899423241615,0,0.36103289760649204,6,2,1,0,M S,Manchester City,1,0.22627899423241615,1.5493250042200089,1.3133180141448975,2016/2017
586,John Stones,27,2011,0,1.4638394135981798,0,0.2321748984977603,13,4,1,0,D S,Manchester City,0,1.4638394135981798,7.781384969130158,7.582047963514924,2016/2017
615,Fernando,15,547,0,0.10354200005531311,0,0.15973850712180138,2,3,3,0,D M S,Manchester City,0,0.10354200005531311,2.999322634190321,2.799349159002304,2016/2017
616,Jesús Navas,24,1053,0,0.22975849825888872,0,2.4299806505441666,8,21,2,0,D F M S,Manchester City,0,0.22975849825888872,7.422237370163202,5.563046135008335,2016/2017
624,Willy Caballero,17,1450,0,0,0,0,0,0,0,0,GK S,Manchester City,0,0,2.995119832456112,2.995119832456112,2016/2017
625,Bacary Sagna,17,1341,0,0.07170174922794104,1,0.6896925009787083,4,8,2,0,D S,Manchester City,0,0.07170174922794104,5.571021547541022,5.356048097833991,2016/2017
877,Samir Nasri,1,13,0,0.5359929800033569,0,0.1074799969792366,3,1,0,0,S,Manchester City,0,0.5359929800033569,0.9224929809570312,0.2790200114250183,2016/2017
1055,Aleix García,4,72,0,0,0,0.012562699615955353,0,1,0,0,M S,Manchester City,0,0,1.4308868926018476,1.4308868926018476,2016/2017
1731,Claudio Bravo,22,1970,0,0,0,0,0,0,0,0,GK,Manchester City,0,0,3.065899409353733,3.065899409353733,2016/2017
619,Sergio Agüero,25,1985,21,18.568616069853306,6,6.533231791108847,95,39,2,0,F S,Manchester City,17,15.523945644497871,23.707817398011684,7.5127200009301305,2017/2018
618,Raheem Sterling,33,2594,18,18.82997048087418,11,8.844120325520635,87,55,3,1,F S,Manchester City,17,18.068801494315267,33.65670891478658,12.149654759094119,2017/2018
5543,Gabriel Jesus,29,1692,13,15.36618173867464,3,2.307676523923874,55,18,6,0,F S,Manchester City,13,13.843847759068012,20.5614745169878,6.514695975929499,2017/2018
337,Leroy Sané,32,2421,10,6.241070871241391,15,9.04887949116528,56,58,4,0,D F M S,Manchester City,10,6.241070871241391,19.68400301411748,11.898684792220592,2017/2018
617,David Silva,29,2442,9,9.241167284548283,11,8.827983185648918,54,61,5,0,M S,Manchester City,9,9.241167284548283,30.254950737580657,18.981360713019967,2017/2018
447,Kevin De Bruyne,37,3103,8,5.40172931086272,16,13.101718165911734,93,105,2,0,M S,Manchester City,8,5.40172931086272,33.50092287361622,22.899969128891826,2017/2018
3635,Bernardo Silva,35,1500,6,4.527405306696892,4,3.0583874695003033,25,30,0,0,F S,Manchester City,6,4.527405306696892,15.460779877379537,9.751076810061932,2017/2018
614,Fernandinho,34,2890,5,2.466341315768659,3,2.843062289059162,47,21,7,0,M S,Manchester City,5,2.466341315768659,25.390074506402016,22.237682927399874,2017/2018
314,Ilkay Gündogan,30,1504,4,3.583664510399103,1,2.348830319941044,35,21,3,0,M S,Manchester City,3,2.8224959895014763,14.065661202184856,10.724260763265193,2017/2018
611,Nicolás Otamendi,34,2975,4,3.190081707201898,0,1.1602247087284923,32,12,9,0,D S,Manchester City,4,3.190081707201898,19.018252965062857,17.797392796725035,2017/2018
2244,Danilo,23,1338,3,1.246730917133391,2,0.19109180197119713,19,5,2,0,D M S,Manchester City,3,1.246730917133391,14.04324758052826,12.889892593026161,2017/2018
612,Vincent Kompany,17,1401,1,1.020152511075139,1,0.40822980646044016,9,4,6,0,D,Manchester City,1,1.020152511075139,10.810240657068789,10.643547595478594,2017/2018
876,Fabian Delph,22,1747,1,0.19954200088977814,2,1.313318818807602,10,11,2,0,D M S,Manchester City,1,0.19954200088977814,14.307673294097185,13.989248339086771,2017/2018
586,John Stones,18,1310,0,1.3271582154557109,0,0,11,0,0,0,D S,Manchester City,0,1.3271582154557109,10.52970838919282,10.457343373447657,2017/2018
626,Eliaquim Mangala,9,471,0,0.08104660362005234,0,0.015775300562381744,1,1,0,0,D S,Manchester City,0,0.08104660362005234,3.0655395090579987,3.049764208495617,2017/2018
638,Kyle Walker,32,2792,0,0.7181962039321661,6,4.840455614030361,13,30,2,1,D M,Manchester City,0,0.7181962039321661,23.751910287886858,20.828323308378458,2017/2018
878,Yaya Touré,10,209,0,0.3550802022218704,2,0.7849329859018326,5,7,1,0,M S,Manchester City,0,0.3550802022218704,2.4291389659047127,2.165271021425724,2017/2018
1731,Claudio Bravo,3,225,0,0,0,0,0,0,0,0,GK S,Manchester City,0,0,0.05785829946398735,0.05785829946398735,2017/2018
2498,Aymeric Laporte,9,808,0,0.07802070025354624,0,0.13911429978907108,3,2,1,0,D,Manchester City,0,0.07802070025354624,5.3426550552248955,5.125519059598446,2017/2018
2958,Oleksandr Zinchenko,8,534,0,0.09079299680888653,0,0.35242010094225407,5,8,1,0,D S,Manchester City,0,0.09079299680888653,3.20258629322052,3.0983963422477245,2017/2018
3389,Benjamin Mendy,7,357,0,0.12371980119496584,1,0.9633522108197212,5,9,2,0,D M S,Manchester City,0,0.12371980119496584,2.8920828215777874,2.093851998448372,2017/2018
6054,Ederson,36,3195,0,0,0,0.03262510150671005,0,1,0,0,GK,Manchester City,0,0,8.560575477778912,8.52795047312975,2017/2018
6055,Phil Foden,5,41,0,0,1,0.4896077960729599,0,2,0,0,S,Manchester City,0,0,0.8641107827425003,0.3745029866695404,2017/2018
6421,Brahim Diaz,5,40,0,0.49375298619270325,0,0,3,0,0,0,S,Manchester City,0,0.49375298619270325,0.5121960863471031,0.018443100154399872,2017/2018
6544,Lukas Nmecha,2,8,0,0,0,0,0,0,0,0,S,Manchester City,0,0,0,0,2017/2018
619,Sergio Agüero,33,2515,21,19.949161492288113,8,5.22924355044961,118,34,3,0,F S,Manchester City,19,18.42682258039713,28.700228951871395,8.10099308937788,2018/2019
618,Raheem Sterling,34,2788,17,15.90765044093132,10,10.792032338678837,77,66,3,0,F M S,Manchester City,17,15.90765044093132,33.021934136748314,12.632532268762589,2018/2019
337,Leroy Sané,31,1866,10,6.9819496013224125,10,8.101670009084046,56,40,1,0,F M S,Manchester City,10,6.9819496013224125,21.354021787643433,10.558318005874753,2018/2019
750,Riyad Mahrez,27,1333,7,6.61693406291306,4,5.006450802087784,54,24,0,0,F M S,Manchester City,7,5.855765061452985,14.370971381664276,6.827348282560706,2018/2019
3635,Bernardo Silva,36,2851,7,8.196722293272614,7,8.63292901776731,62,71,3,0,F M S,Manchester City,7,8.196722293272614,29.931430093944073,16.89149523898959,2018/2019
5543,Gabriel Jesus,29,993,7,12.621455237269402,3,2.651642894372344,43,21,1,0,F S,Manchester City,6,11.860289201140404,16.59241919964552,4.99089097417891,2018/2019
314,Ilkay Gündogan,31,2133,6,4.213995475322008,3,4.967496044933796,43,43,3,0,M S,Manchester City,6,4.213995475322008,19.06554689258337,15.749675698578358,2018/2019
617,David Silva,33,2426,6,8.128262622281909,8,10.113781478255987,51,73,3,0,M S,Manchester City,6,8.128262622281909,30.807653691619635,18.846598675474524,2018/2019
2498,Aymeric Laporte,35,3059,3,3.7521955305710435,3,0.8390768077224493,26,13,3,0,D S,Manchester City,3,3.7521955305710435,22.0732327606529,21.05890560336411,2018/2019
447,Kevin De Bruyne,19,965,2,1.4742405684664845,2,6.654018055647612,31,36,2,0,M S,Manchester City,2,1.4742405684664845,12.202191635966301,8.481837928295135,2018/2019
612,Vincent Kompany,17,1221,1,0.24023419804871082,0,0.07192529737949371,5,1,6,0,D S,Manchester City,1,0.24023419804871082,8.014269940555096,7.911121018230915,2018/2019
614,Fernandinho,29,2397,1,1.7180062113329768,3,3.1326729878783226,30,22,5,0,D M S,Manchester City,1,1.7180062113329768,19.328523859381676,17.583873890340328,2018/2019
638,Kyle Walker,33,2774,1,0.731842796318233,1,1.9359694560989738,21,24,3,0,D S,Manchester City,1,0.731842796318233,18.515535973012447,17.58539743721485,2018/2019
2244,Danilo,11,806,1,0.41777010075747967,0,0.12601689621806145,14,4,1,0,D S,Manchester City,1,0.41777010075747967,8.112218901515007,7.764467999339104,2018/2019
6055,Phil Foden,13,316,1,2.24975498765707,0,1.0727550070732832,14,8,0,0,M S,Manchester City,1,2.24975498765707,4.340557379648089,1.7484888900071383,2018/2019
586,John Stones,24,1763,0,0.15878779906779528,0,0.2179630994796753,5,5,1,0,D M S,Manchester City,0,0.15878779906779528,10.331681538373232,10.240312475711107,2018/2019
611,Nicolás Otamendi,18,1233,0,1.1752215111628175,0,0.2891284003853798,15,2,1,0,D S,Manchester City,0,1.1752215111628175,8.132093070074916,7.953523067757487,2018/2019
876,Fabian Delph,11,723,0,0.0698102992027998,1,0.38566290587186813,4,3,1,1,D S,Manchester City,0,0.0698102992027998,4.9016905054450035,4.826938599348068,2018/2019
2958,Oleksandr Zinchenko,14,1153,0,0.20922029856592417,3,1.717051662504673,7,12,1,0,D M,Manchester City,0,0.20922029856592417,9.430881664156914,8.520946681499481,2018/2019
3389,Benjamin Mendy,10,900,0,0.22571569867432117,5,2.0475861160084605,7,12,1,0,D M,Manchester City,0,0.22571569867432117,8.096015021204948,6.811547979712486,2018/2019
6054,Ederson,38,3420,0,0,1,0.07219650037586689,0,3,2,0,GK,Manchester City,0,0,7.599133571609855,7.549606351181865,2018/2019
618,Raheem Sterling,33,2678,20,19.799912065267563,1,7.208590239286423,100,48,5,0,F M S,Manchester City,20,18.277569144964218,31.442028179764748,10.186004303395748,2019/2020
619,Sergio Agüero,24,1462,16,15.557497031986713,3,2.920210164040327,76,19,1,0,F S,Manchester City,14,13.274028159677982,16.878257554024458,2.6447667879983783,2019/2020
447,Kevin De Bruyne,35,2818,14,8.106427356600761,20,20.620712891221046,100,133,3,0,M S,Manchester City,12,6.5840903371572495,37.79830400645733,19.244827073067427,2019/2020
5543,Gabriel Jesus,34,2022,14,21.01520355977118,7,3.5988585241138935,101,32,3,0,F S,Manchester City,14,20.254034588113427,27.65223414450884,7.181312914937735,2019/2020
